player_id,名前,年度,所属球団,登板,勝利,敗戦,セーブ,ホールド,HP,完投,完封,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率,投手WAR,FIP,WHIP,K/BB,K-BB%,K/9,BB/9,ランク
51555130,小野　郁,2022,千葉ロッテ,44,0,0,0,18,18,0,0,0,0,176,40.2,36,2,16,1,33,2,0,11,9,1.99,0.37,3.39,1.28,2.06,9.7,7.3,3.76,B
51555130,小野　郁,2023,千葉ロッテ,10,0,1,0,4,4,0,0,0,0,41,9.2,9,0,3,1,6,2,0,5,5,4.66,0.12,3.12,1.24,2.0,7.3,5.59,3.72,B
51555130,小野　郁,2024,千葉ロッテ,3,0,0,0,0,0,0,0,0,0,13,3,4,0,1,0,1,1,0,1,1,3,0.02,3.45,1.67,1.0,0.0,3.0,3.0,B
51555130,小野　郁,2025,千葉ロッテ,47,2,2,0,10,12,0,0,0,0.5,180,41.2,40,1,13,2,41,1,0,15,12,2.59,0.77,2.54,1.27,3.15,15.6,8.86,3.24,B
61165139,石川　柊太,2017,福岡ソフトバンク,34,8,3,0,1,3,0,0,0,0.727,409,98.1,69,11,50,7,99,4,1,38,36,3.29,-0.11,4.3,1.21,1.98,12.0,9.06,5.22,B
61165139,石川　柊太,2018,福岡ソフトバンク,42,13,6,0,6,12,0,0,0,0.684,541,127.1,115,20,43,13,96,4,0,55,51,3.6,-1.09,4.97,1.24,2.23,9.8,6.79,3.96,B
61165139,石川　柊太,2019,福岡ソフトバンク,2,0,0,0,1,1,0,0,0,0,11,3,2,0,0,0,3,1,0,0,0,0,0.1,1.12,0.67,3.0,27.3,9.0,0.0,B
61165139,石川　柊太,2020,福岡ソフトバンク,18,11,3,0,0,1,2,1,0,0.786,443,111.2,68,9,41,12,103,0,0,32,30,2.42,0.56,3.75,0.98,2.51,14.0,8.3,4.27,B
61165139,石川　柊太,2021,福岡ソフトバンク,28,6,9,0,0,0,0,0,0,0.4,653,156.1,135,22,51,17,134,3,0,70,59,3.4,-0.59,4.54,1.19,2.63,12.7,7.71,3.91,B
61165139,石川　柊太,2022,福岡ソフトバンク,23,7,10,0,0,0,1,1,0,0.412,585,136.1,122,9,57,8,106,0,0,57,51,3.37,0.52,3.85,1.31,1.86,8.4,7.0,4.29,B
61165139,石川　柊太,2023,福岡ソフトバンク,23,4,8,0,0,0,1,1,0,0.333,550,125.2,108,15,61,8,119,3,0,63,58,4.15,-0.31,4.43,1.34,1.95,10.5,8.52,4.94,B
61165139,石川　柊太,2024,福岡ソフトバンク,15,7,2,0,0,0,0,0,0,0.778,247,63.1,51,4,12,5,52,2,0,18,18,2.56,0.77,3.1,0.99,4.33,16.2,7.39,2.42,B
61165139,石川　柊太,2025,千葉ロッテ,19,4,7,0,0,0,0,0,0,0.364,454,103.1,110,11,37,5,56,4,0,55,53,4.62,-0.5,4.64,1.42,1.51,4.2,4.88,3.66,B
61765153,河村　説人,2021,千葉ロッテ,20,4,1,0,0,0,0,0,0,0.8,178,41.2,39,4,17,0,28,0,0,16,16,3.46,-0.02,4.25,1.34,1.65,6.2,6.05,3.67,B
