player_id,名前,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率,野手WAR,wOBA,wRC+,OPS,ISOp,ランク
91495139,森　友哉,2024,オリックス,117,457,395,46,111,24,1,9,164,46,6,1,0,5,50,7,61,4,0.281,0.415,0.368,1.07,.338,109,.783,.134,B
91495139,森　友哉,2025,オリックス,50,191,161,16,33,8,0,1,44,14,0,0,0,1,26,3,31,0,0.205,0.273,0.325,-0.55,.275,89,.598,.068,B
1105135,石川　慎吾,2018,読　売,17,28,26,1,5,1,1,0,8,0,0,0,0,0,2,0,6,1,0.192,0.308,0.25,-0.16,.240,78,.558,.115,B
1105135,石川　慎吾,2019,読　売,55,76,70,12,18,2,0,4,32,10,0,0,0,0,6,0,14,2,0.257,0.457,0.316,0.1,.326,105,.773,.200,B
1105135,石川　慎吾,2020,読　売,43,47,45,2,11,1,0,2,18,7,0,0,0,0,2,0,12,1,0.244,0.4,0.277,-0.1,.286,92,.677,.156,B
1105135,石川　慎吾,2021,読　売,26,41,37,3,7,2,0,0,9,0,0,1,0,0,4,0,8,1,0.189,0.243,0.268,-0.27,.232,75,.512,.054,B
1105135,石川　慎吾,2022,読　売,22,32,29,3,8,3,0,0,11,2,0,0,0,0,3,0,9,0,0.276,0.379,0.344,0.01,.314,101,.723,.103,B
1105135,石川　慎吾,2023,千葉ロッテ,44,118,112,10,39,6,0,2,51,10,0,0,0,0,6,0,20,2,0.348,0.455,0.381,0.47,.358,116,.837,.107,B
1105135,石川　慎吾,2024,千葉ロッテ,33,93,90,2,19,3,0,1,25,5,0,0,0,0,3,0,19,3,0.211,0.278,0.237,-0.68,.222,72,.514,.067,B
1105135,石川　慎吾,2025,千葉ロッテ,14,36,35,2,3,1,0,0,4,3,0,0,0,0,1,0,11,0,0.086,0.114,0.111,-0.63,.101,33,.225,.029,B
1205118,西野　勇士,2013,千葉ロッテ,24,4,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0.667,0.01,.345,111,.500,.000,B
1205118,西野　勇士,2024,千葉ロッテ,20,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-0.08,.000,0,.000,.000,B
1905134,澤田　圭佑,2024,千葉ロッテ,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.03,.000,0,.000,.000,B
3505136,Ｎ．ソト,2018,横浜DeNA,107,459,416,74,129,16,0,41,268,95,0,1,0,5,29,9,100,5,0.31,0.644,0.364,3.81,.410,132,1.008,.334,S
3505136,Ｎ．ソト,2019,横浜DeNA,141,584,516,82,139,18,0,43,286,108,0,0,0,4,59,5,98,14,0.269,0.554,0.348,3.03,.372,120,.902,.285,S
3505136,Ｎ．ソト,2020,横浜DeNA,114,480,428,59,108,18,0,25,201,78,0,0,0,5,44,3,103,12,0.252,0.47,0.323,0.88,.332,107,.793,.217,B
3505136,Ｎ．ソト,2021,横浜DeNA,123,451,410,42,96,18,1,21,179,62,0,1,0,1,35,5,116,12,0.234,0.437,0.302,0.06,.312,101,.738,.202,B
3505136,Ｎ．ソト,2022,横浜DeNA,117,412,368,35,98,25,0,17,174,49,0,0,0,1,38,5,103,11,0.266,0.473,0.342,1.17,.344,111,.815,.207,B
3505136,Ｎ．ソト,2023,横浜DeNA,109,399,354,31,83,22,0,14,147,50,0,2,0,2,39,4,99,11,0.234,0.415,0.316,0.06,.312,101,.731,.181,B
3505136,Ｎ．ソト,2024,千葉ロッテ,132,542,491,43,132,22,2,21,221,88,0,0,0,4,42,5,136,19,0.269,0.45,0.33,0.89,.330,106,.780,.181,B
3505136,Ｎ．ソト,2025,千葉ロッテ,102,367,330,31,76,14,0,13,129,44,0,0,0,2,32,3,98,6,0.23,0.391,0.302,-0.39,.297,96,.693,.161,B
11215151,髙部　瑛斗,2020,千葉ロッテ,5,11,10,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,0.1,0.1,0.1,-0.21,.079,26,.191,.000,B
11215151,髙部　瑛斗,2021,千葉ロッテ,33,69,55,6,8,1,0,1,12,6,4,0,7,0,7,0,19,1,0.145,0.218,0.242,-0.68,.191,62,.436,.073,B
11215151,髙部　瑛斗,2022,千葉ロッテ,137,608,541,66,148,16,6,3,185,38,44,10,22,3,36,6,103,12,0.274,0.342,0.324,-1.5,.280,90,.654,.068,B
11215151,髙部　瑛斗,2024,千葉ロッテ,76,287,260,37,78,12,3,1,99,23,10,4,5,2,19,1,43,3,0.3,0.381,0.348,-0.01,.309,100,.722,.081,B
11215151,髙部　瑛斗,2025,千葉ロッテ,111,384,357,49,102,15,7,2,137,34,20,4,5,5,14,3,49,3,0.286,0.384,0.314,-0.55,.293,94,.694,.098,B
11515138,小島　和哉,2021,千葉ロッテ,24,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.05,.000,0,.000,.000,B
11515138,小島　和哉,2022,千葉ロッテ,24,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.333,-0.02,.230,74,.333,.000,B
11515138,小島　和哉,2023,千葉ロッテ,25,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-0.1,.000,0,.000,.000,B
11515138,小島　和哉,2024,千葉ロッテ,25,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,-0.1,.000,0,.000,.000,B
11515138,小島　和哉,2025,千葉ロッテ,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,.000,0,.000,.000,B
11515139,岡　大海,2014,北海道日本ハム,15,39,35,3,4,0,0,0,4,0,1,1,1,0,3,0,8,0,0.114,0.114,0.184,-0.55,.142,46,.294,.000,B
11515139,岡　大海,2015,北海道日本ハム,101,294,259,35,61,14,0,4,87,26,18,3,10,1,17,7,64,8,0.236,0.336,0.299,-1.02,.268,87,.625,.100,B
11515139,岡　大海,2016,北海道日本ハム,41,154,131,28,49,7,0,2,62,12,9,1,3,1,15,4,27,4,0.374,0.473,0.45,1.05,.392,126,.915,.099,B
11515139,岡　大海,2017,北海道日本ハム,60,132,124,15,21,4,1,0,27,7,6,2,3,1,4,0,34,4,0.169,0.218,0.194,-1.49,.175,56,.407,.048,B
51955114,坂本　勇人,2011,読　売,144,624,568,69,149,27,2,16,228,59,8,1,10,3,37,6,91,3,0.262,0.401,0.308,-0.53,.300,97,.709,.139,B
11515139,岡　大海,2018,北海道日本ハム,28,60,52,11,8,3,0,0,11,7,5,0,2,0,4,2,12,3,0.154,0.212,0.241,-0.54,.203,65,.445,.058,B
51855136,松本　直樹,2023,東京ヤクルト,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.15,.000,0,.000,.000,B
11515139,岡　大海,2019,千葉ロッテ,95,182,154,36,35,8,1,6,63,16,13,1,3,1,18,6,32,5,0.227,0.409,0.33,0.05,.313,101,.733,.182,B
11515139,岡　大海,2020,千葉ロッテ,62,64,56,12,8,0,0,0,8,2,7,3,1,0,7,0,18,1,0.143,0.143,0.238,-0.67,.184,59,.377,.000,B
11515139,岡　大海,2021,千葉ロッテ,110,185,161,31,39,6,0,6,63,18,11,1,5,0,14,5,44,6,0.242,0.391,0.322,-0.14,.301,97,.705,.149,B
11515139,岡　大海,2022,千葉ロッテ,98,248,207,29,45,11,2,6,78,19,12,0,5,3,24,9,56,4,0.217,0.377,0.321,-0.27,.297,96,.691,.159,B
11515139,岡　大海,2023,千葉ロッテ,109,372,319,50,90,16,3,7,133,33,15,4,8,0,37,8,56,5,0.282,0.417,0.371,0.76,.335,108,.780,.135,B
11515139,岡　大海,2024,千葉ロッテ,103,420,362,52,104,28,2,7,157,33,11,3,4,3,44,7,64,9,0.287,0.434,0.373,1.17,.343,111,.803,.146,B
11515139,岡　大海,2025,千葉ロッテ,65,181,157,17,43,6,1,2,57,18,3,1,2,0,16,6,36,1,0.274,0.363,0.363,0.12,.318,103,.722,.089,B
11715153,小川　龍成,2021,千葉ロッテ,20,6,6,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,-0.15,.000,0,.000,.000,B
11715153,小川　龍成,2022,千葉ロッテ,68,77,55,15,6,1,0,1,10,4,4,1,7,1,12,1,18,0,0.109,0.182,0.275,-0.69,.203,65,.429,.073,B
11715153,小川　龍成,2023,千葉ロッテ,52,24,20,7,3,1,0,0,4,1,3,3,3,0,1,0,7,0,0.15,0.2,0.19,-0.32,.152,49,.367,.050,B
